case:concept:name,simulation_index,recommended_activity,recommended_resource,first_batch,match_recommendation,status
201810001660,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201810002650,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER | Pending Liquidation Request / BOC,True,ok
201810006512,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201810008108,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201810008268,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201810008485,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201810008899,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20181000902,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
201810010740,1,Pending Request for Reservation Closure,SDC,Pending Request for Reservation Closure / SDC,True,ok
201810011081,1,Service closure Request with BO responsibility,00835,Service closure Request with BO responsibility / 00835,True,ok
201810011583,1,Service closure Request with BO responsibility,00835,Service closure Request with BO responsibility / 00835,True,ok
20181012611,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20181013679,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201811000205,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201811001580,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201811001889,1,Service closure Request with BO responsibility,00837,Service closure Request with BO responsibility / 00837,True,ok
201811002881,1,Service closure Request with BO responsibility,00842,Service closure Request with BO responsibility / 00842,True,ok
201811003327,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201811003911,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
201811004163,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201811004205,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201811004338,1,Service closure Request with BO responsibility,00849,Service closure Request with BO responsibility / 00849,True,ok
201811005226,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201811005422,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201811005747,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
201811005954,1,Service closure Request with BO responsibility,00837,Service closure Request with BO responsibility / 00837,True,ok
201811006467,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201811006674,1,Evaluating Request (WITH registered letter),00045,Evaluating Request (WITH registered letter) / 00045,True,ok
201811006982,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201811007401,1,Evaluating Request (WITH registered letter),00594,Evaluating Request (WITH registered letter) / 00594,True,ok
201811008100,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
201811008330,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER | Pending Liquidation Request / BOC,True,ok
201811008338,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201811008394,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
201811008598,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201811008631,1,Evaluating Request (WITH registered letter),00147,Service closure Request with BO responsibility / BOC,False,ok
201811008634,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201811009132,1,Service closure Request with network responsibility,00501,Service closure Request with network responsibility / 00501,True,ok
201811009434,1,Authorization Requested,00594,Authorization Requested / 00594,True,ok
201811009590,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201811009800,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
201811010119,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
201811010142,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201811010681,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201811010732,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201811011699,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201811011715,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201811011742,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201811011907,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201811011916,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812000179,1,Service closure Request with BO responsibility,00842,Service closure Request with BO responsibility / 00842,True,ok
201812000181,1,Service closure Request with BO responsibility,00842,Service closure Request with BO responsibility / 00842,True,ok
201812000186,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201812000605,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812000606,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812000900,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812002344,1,Evaluating Request (WITH registered letter),00594,Service closure Request with BO responsibility / BOC,False,ok
201812002552,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812002630,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201812002677,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER | Pending Liquidation Request / BOC,True,ok
201812002837,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812002893,1,Service closure Request with BO responsibility,00842,Service closure Request with BO responsibility / 00842,True,ok
201812003039,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201812003088,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812003287,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
201812004065,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201812004155,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812004198,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201812004271,1,Service closure Request with BO responsibility,00842,Service closure Request with BO responsibility / 00842,True,ok
201812004422,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201812004433,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812004478,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812004552,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
201812004625,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812004772,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812004817,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201812004871,1,Service closure Request with BO responsibility,00837,Service closure Request with BO responsibility / 00837,True,ok
201812004921,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
201812005259,1,Authorization Requested,00193,Authorization Requested / 00193,True,ok
201812005350,1,Request completed with account closure,BOCSER,Request completed with account closure / BOCSER,True,ok
201812005402,1,Evaluating Request (WITH registered letter),00849,Service closure Request with BO responsibility / BOC,False,ok
201812005434,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201812005461,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812005659,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812005779,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812005853,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201812005862,1,Service closure Request with BO responsibility,00849,Service closure Request with BO responsibility / 00849,True,ok
201812005898,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201812006094,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
201812006124,1,Service closure Request with BO responsibility,00844,Service closure Request with BO responsibility / 00844,True,ok
201812006485,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812006628,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812006707,1,Request completed with account closure,BOCSER,Request completed with account closure / BOCSER,True,ok
201812006755,1,Request completed with account closure,BOCSER,Request completed with account closure / BOCSER,True,ok
201812006820,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812006824,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812007245,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812007280,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
201812007319,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201812007397,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812007439,1,Pending Liquidation Request,BOCSER,Pending Liquidation Request / BOCSER,True,ok
201812007654,1,Authorization Requested,00501,Authorization Requested / 00501,True,ok
201812007664,1,Service closure Request with BO responsibility,00835,Service closure Request with BO responsibility / 00835,True,ok
201812007718,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812007723,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812007727,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201812007780,1,Request completed with account closure,BOCSER,Request completed with account closure / BOCSER,True,ok
201812007788,1,Service closure Request with BO responsibility,BOC,Service closure Request with BO responsibility / BOC,True,ok
201812007839,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201812007853,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201812008090,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201812008149,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
201812008346,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
201812008642,1,Evaluating Request (WITH registered letter),00147,Service closure Request with BO responsibility / BOC,False,ok
201812008657,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
201812008694,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
201812008702,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201812008708,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201812008800,1,Service closure Request with BO responsibility,00849,Service closure Request with BO responsibility / 00849,True,ok
201812008953,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201812009363,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812009485,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
201812009515,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201812009556,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201812009573,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
201812009645,1,Evaluating Request (WITH registered letter),00594,Evaluating Request (WITH registered letter) / 00594,True,ok
201812009682,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812009703,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
201812009725,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201812009750,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201812009753,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
20182005961,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
20182009106,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20183007131,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20184001796,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20185003342,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20186002647,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20186005840,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20186007767,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP | Pending Liquidation Request / BOC,True,ok
20187001795,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20187002397,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20187003190,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20187003641,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20187006392,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20187006846,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20187007250,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20187010782,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20188002087,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20188002441,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20188002645,1,Evaluating Request (WITH registered letter),00767,Evaluating Request (WITH registered letter) / 00767,True,ok
20188005486,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20189001829,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20189003084,1,Service closure Request with BO responsibility,00842,Service closure Request with BO responsibility / 00842,True,ok
20189003486,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
20189004803,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20189006540,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20189007102,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20189007821,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20189007982,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20189008206,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20189009645,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191000037,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191000127,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
20191000242,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
20191000255,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191000260,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191000269,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191000366,1,Service closure Request with BO responsibility,BOC,Service closure Request with BO responsibility / BOC,True,ok
20191000380,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191000382,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191000433,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191000490,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191000535,1,Pending Request for Reservation Closure,BOC,Pending Liquidation Request / BOC,False,ok
20191000546,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191000553,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191000568,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
20191000676,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
20191000751,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191000782,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
20191000845,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191000920,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191000928,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191000957,1,Service closure Request with BO responsibility,00848,Service closure Request with BO responsibility / 00848,True,ok
20191001061,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191001073,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191001178,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191001209,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
20191001270,1,Request completed with account closure,BOCSER,Request completed with account closure / BOCSER,True,ok
20191001457,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191001560,1,Authorization Requested,00501,Authorization Requested / 00501,True,ok
20191001584,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191001595,1,Service closure Request with BO responsibility,00849,Service closure Request with BO responsibility / 00849,True,ok
20191001604,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191001611,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191001699,1,Service closure Request with network responsibility,00465,Service closure Request with network responsibility / 00465,True,ok
20191001826,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191001846,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191001877,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191001909,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
20191001991,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191001992,1,Pending Request for Reservation Closure,SDCTCC,Pending Request for Reservation Closure / SDCTCC,True,ok
20191002027,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191002029,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
20191002074,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191002078,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191002091,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
20191002111,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
20191002163,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191002211,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191002216,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191002277,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191002297,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191002394,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191002483,1,Evaluating Request (WITH registered letter),00441,Authorization Requested / 00749,False,ok
20191002503,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191002511,1,Pending Liquidation Request,BOCSER,Pending Liquidation Request / BOCSER,True,ok
20191002521,1,Pending Liquidation Request,BOCSER,Pending Liquidation Request / BOCSER,True,ok
20191002534,1,Pending Request for Reservation Closure,BOC,Pending Liquidation Request / BOC,False,ok
20191002537,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191002706,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191002742,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191002745,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191002751,1,Request completed with account closure,BOCSER,Request completed with account closure / BOCSER,True,ok
20191002759,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191002920,1,Service closure Request with BO responsibility,00842,Service closure Request with BO responsibility / 00842,True,ok
20191002939,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191002953,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191002956,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191002981,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191003000,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191003019,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191003043,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191003077,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191003263,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191003312,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191003315,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191003440,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191003465,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191003502,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191003540,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191003568,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191003594,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191003680,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191003699,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191003724,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191003755,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191003756,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER | Pending Liquidation Request / BOC,True,ok
20191003759,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191003785,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191003861,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191003909,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191003938,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191004011,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191004025,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191004038,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191004043,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191004048,1,Authorization Requested,00595,Authorization Requested / 00595,True,ok
20191004109,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191004146,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191004208,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191004220,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
20191004224,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191004227,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191004251,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191004267,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191004286,1,Authorization Requested,00384,Authorization Requested / 00384,True,ok
20191004364,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191004374,1,Authorization Requested,00501,Authorization Requested / 00501,True,ok
20191004402,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191004432,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191004440,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
20191004500,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191004550,1,Service closure Request with BO responsibility,00849,Service closure Request with BO responsibility / 00849,True,ok
20191004556,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
20191004566,1,Service closure Request with BO responsibility,00849,Service closure Request with BO responsibility / 00849,True,ok
20191004680,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191004710,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191004805,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191004843,1,Service closure Request with BO responsibility,00837,Service closure Request with BO responsibility / 00837,True,ok
20191004854,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191004869,1,Service closure Request with BO responsibility,00835,Service closure Request with BO responsibility / 00835,True,ok
20191004891,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191004909,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191004957,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191004983,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191005120,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191005134,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191005248,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191005294,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191005303,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191005314,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191005347,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191005360,1,Authorization Requested,00501,Authorization Requested / 00501,True,ok
20191005375,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191005395,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191005409,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
